epoch,trainingLoss,validationLoss
617,0.4298,1.7858
618,0.4291,1.7860
619,0.4284,1.7861
620,0.4277,1.7863
621,0.4271,1.7865
622,0.4264,1.7866
623,0.4257,1.7868
624,0.4250,1.7869
625,0.4244,1.7871
626,0.4237,1.7873
627,0.4230,1.7874
628,0.4224,1.7876
629,0.4217,1.7877
630,0.4210,1.7879
631,0.4204,1.7880
632,0.4197,1.7882
633,0.4191,1.7884
634,0.4184,1.7885
635,0.4177,1.7887
636,0.4171,1.7889
637,0.4164,1.7890
638,0.4158,1.7892
639,0.4151,1.7893
640,0.4145,1.7895
641,0.4139,1.7897
642,0.4132,1.7898
643,0.4126,1.7900
644,0.4119,1.7901
645,0.4113,1.7903
646,0.4107,1.7905
647,0.4100,1.7906
648,0.4094,1.7908
649,0.4088,1.7910
650,0.4081,1.7911
651,0.4075,1.7913
652,0.4069,1.7915
653,0.4063,1.7916
654,0.4056,1.7918
655,0.4050,1.7919
656,0.4044,1.7921
657,0.4038,1.7923
658,0.4032,1.7924
659,0.4025,1.7926
660,0.4019,1.7928
661,0.4013,1.7929
662,0.4007,1.7931
663,0.4001,1.7933
664,0.3995,1.7934
665,0.3989,1.7936
666,0.3983,1.7938
667,0.3977,1.7939
668,0.3971,1.7941
669,0.3965,1.7943
670,0.3959,1.7944
671,0.3953,1.7946
672,0.3947,1.7948
673,0.3941,1.7949
674,0.3935,1.7951
675,0.3929,1.7953
676,0.3923,1.7954
677,0.3917,1.7956
678,0.3911,1.7958
679,0.3906,1.7959
680,0.3900,1.7961
681,0.3894,1.7963
682,0.3888,1.7965
683,0.3882,1.7966
684,0.3877,1.7968
685,0.3871,1.7970
686,0.3865,1.7971
687,0.3859,1.7973
688,0.3854,1.7975
689,0.3848,1.7976
690,0.3842,1.7978
691,0.3836,1.7980
692,0.3831,1.7982
693,0.3825,1.7983
694,0.3819,1.7985
695,0.3814,1.7987
696,0.3808,1.7988
697,0.3803,1.7990
698,0.3797,1.7992
699,0.3791,1.7994
700,0.3786,1.7995
