epoch,trainingLoss,validationLoss
983,0.112,0.200
984,0.112,0.200
985,0.112,0.200
986,0.112,0.200
987,0.112,0.200
988,0.112,0.200
989,0.112,0.200
990,0.112,0.200
991,0.112,0.200
992,0.112,0.200
993,0.112,0.200
994,0.111,0.200
995,0.111,0.200
996,0.111,0.200
997,0.111,0.200
998,0.111,0.200
999,0.111,0.200
1000,0.111,0.200
1001,0.111,0.200
1002,0.111,0.200
1003,0.111,0.200
1004,0.111,0.199
1005,0.111,0.199
1006,0.110,0.199
1007,0.110,0.199
1008,0.110,0.199
1009,0.110,0.199
1010,0.110,0.199
1011,0.110,0.199
1012,0.110,0.199
1013,0.110,0.199
1014,0.110,0.199
1015,0.110,0.199
1016,0.110,0.199
1017,0.110,0.199
1018,0.110,0.199
1019,0.109,0.199
1020,0.109,0.199
1021,0.109,0.199
1022,0.109,0.199
1023,0.109,0.199
1024,0.109,0.199
1025,0.109,0.199
1026,0.109,0.199
1027,0.109,0.199
1028,0.109,0.199
1029,0.109,0.199
1030,0.109,0.199
1031,0.109,0.199
1032,0.108,0.199
1033,0.108,0.199
1034,0.108,0.199
1035,0.108,0.198
1036,0.108,0.198
1037,0.108,0.198
1038,0.108,0.198
1039,0.108,0.198
1040,0.108,0.198
1041,0.108,0.198
1042,0.108,0.198
1043,0.108,0.198
1044,0.108,0.198
1045,0.107,0.198
1046,0.107,0.198
1047,0.107,0.198
1048,0.107,0.198
1049,0.107,0.198
1050,0.107,0.198
1051,0.107,0.198
1052,0.107,0.198
1053,0.107,0.198
1054,0.107,0.198
1055,0.107,0.198
1056,0.107,0.198
1057,0.107,0.198
1058,0.106,0.198
1059,0.106,0.198
1060,0.106,0.198
1061,0.106,0.198
1062,0.106,0.198
1063,0.106,0.198
1064,0.106,0.198
1065,0.106,0.198
1066,0.106,0.198
1067,0.106,0.198
1068,0.106,0.197
1069,0.106,0.197
1070,0.106,0.197
1071,0.105,0.197
1072,0.105,0.197
1073,0.105,0.197
1074,0.105,0.197
1075,0.105,0.197
1076,0.105,0.197
1077,0.105,0.197
1078,0.105,0.197
1079,0.105,0.197
1080,0.105,0.197
1081,0.105,0.197
1082,0.105,0.197
1083,0.105,0.197
1084,0.104,0.197
1085,0.104,0.197
1086,0.104,0.197
1087,0.104,0.197
1088,0.104,0.197
1089,0.104,0.197
1090,0.104,0.197
1091,0.104,0.197
1092,0.104,0.197
1093,0.104,0.197
1094,0.104,0.197
1095,0.104,0.197
1096,0.104,0.197
1097,0.104,0.197
1098,0.103,0.197
1099,0.103,0.197
1100,0.103,0.197
1101,0.103,0.197
1102,0.103,0.197
